character,dialogue
WALT,whats matter chief trouble walking stand dont retard stand walk
JESSE,say sell street maybe know whole new market
SKYLER,he quiet
WALT,okay
WALT,edge ive got long dont know youre town need track get address ill rest
WALT,married skyler divorced
JESSE,started scratch made another another end semester like box number five built thing
WALT,permission
SKYLER,tomorrow
HANK,hey baby
HANK,convinced mr pinkman involved manufacturing distribution phenyl methamphetamine specifically calling blue meth tracked scrap yard stored early camper rv waiting warrant search vehicle believed rolling meth lab received phone call telling wife marie injured accident
WALT,watched jane die
MARIE,cant arrest make tell
HANK,yes sir
WALT,yeah ill mow jpls got exhibit mar rover photograph supposed detail really amazing really beautiful
JESSE,cant see accomplishes there way explain
WALT JR,sorry uncle hank wont try buy beer okay
SKYLER,didnt count itsits heavy bag keep
MARIE,holy mary mother god
WALT,oh yeah better
JESSE,right
JESSE,free
WALT JR,whatcha lately havent seen
SKYLER,sizzlelean need think cholesterol
WALT,gon na okay
HANK,may ask
WALT,going go everything going fine
SAUL,well one look place youre gon na fall love
MIKE,car get fixed
SKYLER,okay estranged husband working made forty three thousand dollar year start shoveling money police come im supposed say gee uh never thought officer made sense really mind plausible deniability
WALT,okay
HANK,arabian jesus camel horse towelhead towelhead youre missing
HANK,cool man cool
WALT,take drive somewhere almost four u
JESSE,yeah youre one sitting right telling u thus happy forgive blahblah
WALT JR,need leave
MARIE,arguing backing either
WALT JR,sure
JESSE,
WALT,im actually uh
WALT,name
JESSE,um dunno
JESSE,got game laker girl titty like pine cone yo ill show trick move hit xbutton simultaneous
MARIE,knock knock
SKYLER,yep
HANK,oh yeah
JESSE,nah nah nah shake n bake wheres selfrespect come
JESSE,never alone nothing one alright gone get whywhy would get even care long get want right
SKYLER,flynn im taking school
WALT,hows yield
JESSE,yo sposed like major league equipment maintainer guy
HANK,huh know rv
SKYLER,would please
WALT JR,whats thisevenmade
SKYLER,oh think holly
WALT,yeah
HANK,dont get gag jagoff
HANK,marie im working alright
WALT,frontrunner sure
WALT,oh hey
WALT,fine really guy
WALT,negligible ballparking id say quarter half pound shy
HANK,hope go without saying
WALT,ah kjeldahlstyle recovery flask milliliter nice got griffin beaker got volumetric check pice de rsistance round bottom boiling flask milliliter
MIKE,employer would find like always pinkman arrested hed take problem
SKYLER,really need quick easy quick know something like
WALT JR,shittin right
MARIE,flynn mother telling truth right believe
WALT,complicated
SKYLER,oh god
JESSE,bought two guy killed combo
WALT,would
SKYLER,cant sell long
SAUL,free oh lady cover ear
JESSE,know okay put hot dog huh pig lip asshole say bitch cause love hot dog uh know see im
SKYLER,minute
MIKE,oh youre never old balloon
JESSE,like uh one fly singular
JESSE,whats point outlaw got responsibility
MIKE,youre gon na wan na get car fixed
JESSE,firecracker um know firecracker trick firecracker
GUS,werent bad decision man walter
WALT,im complaining
WALT,oncologist
GUS,wwould slice garlic thin
WALT,made series bad decision make another one
SAUL,okay whats plan b
JESSE,youre late
MIKE,say im looking pinkman know dont pretending otherwise waste time serf annoy
WALT,wan na wan na start
WALT,growth decay transformation fascinating really
SKYLER,thought anymore discussed
WALT,oh ill get
MARIE,youre sure okay drink
WALT,nontoxic glue strip
JESSE,bullshit bullshit krazy kick punk as even thinking next time talk emilio tell
SKYLER,ohhhkay um guy know tax code regulation new mexico cause there specific paperwork submitted quarterly
SKYLER,dont worry baby tonight
JESSE,
WALT,im late go
MIKE,bye baby
SKYLER,contact pinkman get drop charge
WALT JR,oh yeah thats great
SAUL,buy place got big building squirt water got danny
JESSE,knock
WALT,he coming
MARIE,cheese stick
JESSE,happens ill tell happens scumbag brotherinlaw finished done understand
WALT,ive listened everything say appreciate much thought youve put situation dont think ive gone head thousand time weighed option
JESSE,know he first use kid cause hey easy control easy fool get juvie ever get caught heart mind right get em young theyre forever
MIKE,whoa good right
JESSE,hell happened
SKYLER,walt
MARIE,good
WALT,ah well uh
JESSE,didnt hit
JESSE,
WALT,moved
SAUL,ever actually play laser tag know good cardio plus get shoot kid
SAUL,get rid whatre sitting talking
SKYLER,family meeting safe place everyone voice concern heard
WALT,
MIKE,yeah funny word open interpretation
MARIE,hank
WALT,ii sit man stranger engages conversation he complete stranger
JESSE,say say ram alright uh start ram shit truck make escape right
MIKE,shes gon na need shoe
WALT,wouldnt even know begin idea spend day drawing atom chalkboard making kid memorize periodic table
WALT,half million cash
HANK,try one wouldja
WALT,show know art
JESSE,jesus know youre goddamn retard got workin register gon na know youre making crystal youre probably list
JESSE,much got trapped living know house could hear going like room room always uh scurrying around sometimes id see outside night itd know
SKYLER,police wheres holly walt
HANK,yeah got twenty buck say he beaner
GUS,three million dollar three month time
HANK,son name
SKYLER,good time talk
JESSE,yknow iii dont get would anyone paint picture door like dozen time
WALT,chad keep hand please something wrong table
GUS,north border territory say
HANK,got pride get wan na take care everything dont pal daddy warbucks want chip well got ta agree old lady one take money run
SKYLER,close eye
SKYLER,tihme wgeoeinkgentdo hank mary
WALT JR,guy good
JESSE,alright
SKYLER,okay think
WALT,alright
SKYLER,yeah yeah else could possibly make kind money
JESSE,
GUS,dont look look
MARIE,guess
MIKE,um used beat cop long time ago id get called domestic dispute time hundred probably year one guy one piece shit never forget gordie looked like bo svenson remember walking tall dont remember
JESSE,okay fine guess cow skull picture cool door say door zzzzzzzzzzzzzzz
WALT,ill admit come across like circus clown actually know hed
SKYLER,pretty much supported u postdoctoral work really here thing looking kind loophole dunno
WALT JR,always
SKYLER,feel fantastic control temperature
SKYLER,mean understand
JESSE,
WALT,easy decision one make im sorry whole gale situation heshes working
MARIE,hehe swung something
WALT JR,man got good
JESSE,mean fly like like mean
WALT,
SKYLER,walt wouldnt offer job didnt think qualified
JESSE,four grand guy want fortyfive hundred
MIKE,well im gon na
WALT,thats got unusual right kind cash
MARIE,cant know sure
MIKE,trust hole desert id leave
SKYLER,good see missed last time think rwanda something
SKYLER,wheres hank
GUS,need talk something something rather pressing
MARIE,father custody youre going able talk
WALT,wouldnt account much material arent long
WALT,ive low blood sugar stood fast
WALT,brotherinlaw know rv
WALT,jesus skyler really want know mean dyou really want know really
SKYLER,guoesffs whaiss sgnroetchen schwartz something goinrtg knew
JESSE,dont know think youre mr white youre planning giving bullshit getting right jesus something turning
MIKE,driving good behind wheel
SKYLER,marie jesus
WALT JR,okay thinking id use one test
WALT,leave one batch one ship stop complicating thing
WALT,hell live
WALT,wait
GUS,chilean dish love never get make kid wont eat uh know
SAUL,hello walt good see please uh seat
JESSE,nothing partner helping cook mean work dude didnt know thing got dicked let go
MARIE,name
WALT,uh would
WALT,id like buy
JESSE,like im airplane yo hell
WALT JR,ha ha dad youre going get easy
WALT,exactly actually prefer ether
JESSE,want buy place pay tax im criminal yo
WALT,jesse
JESSE,uhhuh
WALT,oh god oh god
SKYLER,im sorry didnt think youd upset say
WALT,need ride
WALT,youre still filing system aunt owns place right
WALT JR,whatsthat
JESSE,sell safe alright sell smart
MARIE,youve since kid youd throw fit didnt get way
WALT,yeah
HANK,never mind coffee break take im done
MARIE,want coffee
SAUL,believe moneylaundering aint used
JESSE,yeah yeah hey hey crunching number alright
WALT,look hope youre waiting apology rat looking best interest well stand behind decision well agree disagree anyway call back
SKYLER,thanks stopping actually best time visit
HANK,thanks really appreciate
MARIE,shes already finished entire bottle still seemed hungry fell asleep thinking id give another wake
JESSE,hey
HANK,kid swear god wish could
MARIE,mean gang like intervention
WALT,buy rv start tomorrow
GUS,time choose
HANK,dont go native alright
WALT,loanout fine
JESSE,there got way
JESSE,twoohtwo change okay getting home
SKYLER,whatever hank investigating trying find rv danger could lead back
WALT,mow first thing
JESSE,ear popping
JESSE,uh good
WALT,think odds tried calculate theyre astronomical
JESSE,whod say killed
HANK,take take
SKYLER,ted whole thing hank one nonstop horror show know
HANK,yes sir
WALT,let please please please let talk
WALT JR,okay mach fastback grabber lime shaker hood stang
WALT JR,
SKYLER,walt
JESSE,yeah well mean thing
WALT,buy rv start tomorrow
MIKE,good
WALT,apple orange
WALT,whats find dispute turf right mean hard could track turf kill month ago
MARIE,ill right back okay
JESSE,teenth shit cmon yo
WALT,huh capn cook thats
HANK,wasnt one mistake ive
JESSE,whoa whoa whoa hold
WALT,
SAUL,yo adrian rocky called want face back
JESSE,uh one
JESSE,two even
WALT,wherewhere know put together
SKYLER,walter jr know there something going now chance spit
JESSE,jesus
SKYLER,whenll home
MARIE,know talk thing right dont go alone
WALT JR,yeah put jail whats god got ta
SKYLER,okay guess start going around circle youre important part family
WALT,skyler
JESSE,oh zzzzzap somebody got got yo see mister
MARIE,spoke blanca said stevens going el paso
JESSE,thank yo thank
JESSE,
WALT,cook whatever like long ridiculous chili p drek dont even think using formula
HANK,cmon little ratbastard get lazy as go break law
SKYLER,sold favorite piece hideous cry clown got nine buck paid
JESSE,hey sup name jesse
WALT,positive pressure
JESSE,beaker griffin beaker exact volumetric beaker erlenmeyer flask kjeldahlstyle recovery flask
JESSE,surprised doesnt make u
JESSE,mean mhats point shutting completely something lift ground spend much energy fighting urge use feel like crap cause
WALT,buahc k jfourst abwohyiioeu kinow wont surgery friday ny
JESSE,central like train track
WALT,hank
MARIE,thing laughingly call pillow would give prison inmate
MARIE,im betting check
HANK,nope
WALT,alright well come come
JESSE,
SAUL,drum roll please wait
HANK,name asac schrader go fuck
SAUL,filthy drug money transformed nice clean taxable income brought savvy investment thriving business
SKYLER,walt diagnosed um changed looking back dont think ever really understood going facing death knowing going leave behind nothing thats started better worse wanted provide
JESSE,dont know whats matter care got
JESSE,dont uh leave let trap work
WALT,whoa whoa whoa whoa
JESSE,ah damn
WALT JR,im pissed cause youre coward get cancer two minute later youre ready give youd given remember could barely stand helped every day til able walk remember hellacious youre scared little chemotherapy
JESSE,else tell
SKYLER,killed killed hank
WALT,onnne
WALT,ill uh ill follow
SKYLER,ill take school
HANK,moment truth
SAUL,rv
WALT,im sorry jane
WALT,oh shit
JESSE,
JESSE,seriously get beer
WALT,happy birthday
WALT,something keep street say day time get temper cooled hopefully move
WALT JR,hey aunt marie
JESSE,talk
GUS,probing weakness
WALT JR,scuse
GUS,sunset
SKYLER,yeah
MARIE,listen knock way groucho ill knock mine
WALT,pinkman still owe
GUS,working together break bread together
JESSE,yeah
WALT,raisin
MIKE,spoke goodman pinkman plan
WALT,pretty straightforward ill show get
SAUL,yeah partner privilege seniority usual seventeen percent thats bargain
SKYLER,thanks lot marie nice ambush
WALT,much
SKYLER,youre right youre right
JESSE,went bar
JESSE,hey step one build inventory badger go see clovis get rv shape tune oil change brake light whatnot cop always pull brake light u cautious
JESSE,yeah
WALT,well think gon na tell man im dying
MARIE,hey know doctor told uncle hank get time want
HANK,thing doesnt damned thing
HANK,immediately went back salvage yard rv gone likely destroyed site
JESSE,alright imagine two guy patrick working mule making kill people wouldnt anything protect kid
WALT,skyler hey
WALT,sure
WALT,hank please youve got ta tell work hank
SKYLER,sizzlelean watching cholesterol
WALT,whwhat thats hearsay proof
HANK,get house hear marie today
WALT,skyler therestheres lotta angle alright complicated let sit back talk
SKYLER,laser tag
JESSE,hell sposed mean
WALT,ill treatment
SAUL,howsabout run thing one time especially part talking dont say jack
JESSE,wait
SKYLER,somehow something tell
GUS,come help cook
JESSE,fault
GUS,believe gale know time come ready
JESSE,get offa get
GUS,doesnt
JESSE,guy eats ricin two three day later get flu heart attack something keel thats said untraceable back u
JESSE,cook tomorrow meantime know guy talk
WALT,well didnt vote
HANK,one minute attacked somebody called cell told expect
JESSE,like make expert
JESSE,one time back aunt house back died cancer possum big freaky looking bitch
HANK,thats exactly im sayin deal little prick
SKYLER,yeah thought truth never took money dime proud take considered charity
GUS,new lab
HANK,nope working
SKYLER,hi everything okay
JESSE,want
GUS,whered cross
SKYLER,im saying know history he father child maybe
JESSE,okay
HANK,yeah
WALT,got ta go
WALT,
JESSE,already time dont go get monkey
SAUL,yeah there gun glolites kid wear vest runa round team
MARIE,hell
WALT JR,got nabbed cause guy ran
GUS,listen one friend room
WALT,absolutely entire chain event occur failsafes failsafes redundancy built system one person one cause attributed instance sort collision radar jet may working properly public record look
GUS,well first started made lot mistake care admit wish id someone advise life overwhelm
WALT,thats im jesse there
WALT JR,go got
JESSE,aint buying ese im selling
WALT,money saul keeping soon youre feeling better
JESSE,money mainly
WALT JR,know bullshit
HANK,closer
WALT,good clothes cant go home smelling like meth lab
HANK,shit old man walts tokin even inhale
HANK,marie let people get paid
JESSE,youre
JESSE,stove fuel enough lye got generic crap red devil better iodine match also brand
WALT,im got ta careful baby
HANK,little care far im concerned never inhaled okay like said cut chase remember pinkman kid ever rv
JESSE,need today
SAUL,heyhey escalating stop
WALT,bye son hey good work today
WALT,thank anyway kind elliott
HANK,thats way happened
MIKE,well course trying right thing
WALT,good family
JESSE,hell man
JESSE,nah theyre onto got dog sniff around
SAUL,thats thats wan na buy
WALT,shoot
SKYLER,turning forty big deal know im looking forward
SKYLER,guess crime pay
SKYLER,name
SKYLER,anbdio oi st ut apl g peea ao ltl tmt e thinking yet rano h cf e ew h tircahnwgeasbeyohuarvior
HANK,yeah
WALT,elliott appealing know ive got personal issue
SKYLER,well little late happens decide pay bill drug money
SKYLER,apparently know even part body mean couldnt bring go
WALT,sure hope enough
SKYLER,hey uh know dad thinking maybe starting business together
WALT JR,fine
HANK,well long story im personally opinion he moved weed graduated selling crystal meth using rolling lab
WALT,like winnebago
JESSE,going
JESSE,cause never said wouldnt cook cause aint plural bitch
SKYLER,god could go glass wine wan na go sorry never mind ech anyway
WALT,know want security family
SAUL,take xanax cause got drawer full em uh get em
JESSE,cause found em
JESSE,yeah
SKYLER,oh yeah
SKYLER,worked four year business understand story people believe laser tag buy
SKYLER,eat
JESSE,good
SKYLER,great thanks marie
SKYLER,youre gon na mow
WALT,want something drink
JESSE,right get five percent
WALT,dloiseteennt jheeslpse bellieinvgeermineg onjutshtings atrlyrigahntd focus getting better
SKYLER,safe cautious thats im asking man neither
SKYLER,yeah
WALT,god walt cocaine
WALT,look nice honey
JESSE,tom trick firecracker huh who tom
SKYLER,could hardly believe either admitted point blank buying pot former student skeevy little shit
JESSE,youyou like remember class mean like
JESSE,oh gee thanks well interested ive got thing goin nice try saving asshat brotherinlaw
WALT,well recite
WALT,know
GUS,ringing ear
WALT JR,mimom pretty sure didnt bring
JESSE,name
SKYLER,married couple cant compelled testify one another there
JESSE,seriously wan na get high
JESSE,yeah ill keep peace
MIKE,im gon na need full attention saul jesse pinkman current whereabouts sooner tell sooner get back
HANK,yeah exactly one whiffll kill thats moon suit
MARIE,here youre gon na tell
WALT,wheres belly button see
SKYLER,thing devil detail begin saying source money
WALT,yes know
JESSE,two
WALT,nice meet
JESSE,hold onto hold still
GUS,walter ever talked got particular line work
JESSE,ninetysix million dollar alright ninetysix million ninetysix three
SKYLER,youre liar walt
JESSE,exactly kind contaminant dealing
JESSE,tomorrow ill touch
MARIE,well didnt see
WALT,well asks lot question cooking process try vague possible ive got guy victor watching listening every word say
MARIE,dont know talk dont know say anymore dont know
JESSE,hey sit
JESSE,moving around alright working
WALT JR,youre completely mind
WALT,yeah better
WALT JR,yeah need police dad pulled knife mom attacked he dangerous think mightve killed somebody
WALT,please get thing together kid priority
HANK,yeah sure
JESSE,good um ready talk business
JESSE,im good im good im good man right right
WALT JR,youre mind youre full shit
HANK,look like
WALT,thank know ebola tell would west african virus lab hmm
SKYLER,youre late
JESSE,wait hold tell youre seriously
WALT,believe proprietary kind selfishness formula hmm sort overweening pride suppose think simply overwhelms cloud judgement
HANK,well simple baby there little thing called const
WALT JR,stupid he gon na change mind might well save breath
HANK,hey
GUS,im told product less consistent quality come expect
JESSE,yeah baby got pheromone
JESSE,youre damn right belongs
JESSE,look bump get thing done want
WALT,hi
SAUL,wan na stay jail dontcha wan na keep money freedom ive got three little letter ir get capone get
GUS,clearly youre rational person would done
HANK,calling dad
MARIE,course ii want safe cant tell want wont talk
SKYLER,ah stang mmhmm
JESSE,show exactly easy
WALT,short speech lost partner today whatshisname emilio emilios going prison
WALT,chemistry study
GUS,say
SAUL,hey whatre parameter sobriety thing got going
GUS,mind
GUS,pinkman
WALT,jesse
SKYLER,please stop talking dying
SAUL,dont get outside nail salon right inside best money laundry growing boy could ask
SKYLER,oh god walt
SKYLER,every spare minute walt card table somewhere first went casino realized
HANK,thats one im positive little bastard got rv dont know keep actually lead something im stuck marie im sorry
WALT,wish something could
JESSE,one miss
WALT,
MIKE,chow anything wan na tell
HANK,oh hey uh
JESSE,heard sister kid shot
WALT,really
HANK,brandon mayhew know
HANK,mmm ever took
JESSE,dunno
WALT,home watching tv nature program elephant skyler holly another room could hear baby monitor singing lullaby
GUS,ah morning
WALT,wwhy thinking way punish
WALT,cost family
SKYLER,dinner almost ready okay
WALT,skyler nothing
JESSE,hey wait thing
SKYLER,even know walt mean would people buy laser tag business itit doesnt add
WALT,cmon let get outta
SKYLER,relax close eye let
JESSE,
WALT,wheres remote
SAUL,kay here cash youre town yeah youre partying hearty youre knockin boot chicky babe uhh who
WALT,sell dont smoke
HANK,single shittiest week since handsdown living mean say authority cause definitely shitty week last six month right call guinness man call freakin
WALT,wan na talk trust jesse let talk trust told cook formula went ahead anyway
MARIE,pinkman character
WALT,yeah well know would prison prison worse id right alongside
GUS,understand
SKYLER,walt dont know going lately
SKYLER,process moving yeah today hopefully meantime son daughter staying sister
SKYLER,married
SKYLER,okay thanks
MIKE,hell exactly
MIKE,yeah unfortunately walter downstairs
JESSE,who
GUS,would choose hour course come go please long quota met
HANK,hospital bed
MARIE,please ten thousand dollar
WALT JR,dad mom aunt marie told arrested theyre saying youre kind drug dealer
HANK,hey check walt asshole like shoebox bettern bank america
MIKE,walter sooner figure sooner go home
SKYLER,honey
HANK,go back trailer everythings okay
SKYLER,like im paralyzed like take step direction im gon na make spectacular mistake
HANK,marie give mean seriously gon na happen
JESSE,cant get nut sell whats point even coming
JESSE,thats right
WALT,sky whhiant kdiomyoauy juthsintkkeep
SKYLER,yes he high school teacher chemistry teacher
JESSE,uh tom
SAUL,bzzt wrong million time worse youre tax cheat
SKYLER,he fine mean
JESSE,listen get address
SAUL,whawhat say escalating huh who got back alright im gon na take care thing
SKYLER,
HANK,didnt see coming
HANK,nah didnt see shit day late dollar short usual reason im even breathing got warning call
WALT,name one thing world negotiable
JESSE,see told got
HANK,drug enforcement administration interested rv thats registered name address
WALT,option
SKYLER,hey everybody walt suddenly decided invest laser tag blue really thats supposed tell people family friend government
SAUL,thats way world kid go winner
SKYLER,love
WALT,
GUS,need two hundred pound per week make economically viable
JESSE,bet thats
JESSE,oh know buzzer thing
JESSE,burger getting cold
WALT,well would prefer die holding head high rather eating shit
SAUL,good constitutes good youre car bugged
MIKE,half measure walter
SAUL,wha youyoure gon na need money laundered right mean course
JESSE,never talk anyone right mean ever understand
JESSE,guess like marine somethin got old hard hearing uh project class make um wooden box like small um like
SKYLER,hey dont love situation alright put however let stick make sense took seed money gambling invested car wash helped run four year hired wife bookkeeper guess shes actually bookkeeper story auditor believe missing
HANK,im letting sucker outta sight there got ta way there got ta way there got ta way
JESSE,positive
WALT,he
WALT,partner get shot intervened
GUS,intend keep walter long want assuming he physically tell long might
JESSE,okay good great
WALT,know call crazy iim actually feeling good future
JESSE,free cook anytime anywhere quota one answer
SAUL,besides dump isnt gon na work doesnt danny okay there danny
JESSE,im risking as get product two youre pussy sell youre pathetic
WALT,people believe least worked four year
WALT,jesse ii sorry happened
SKYLER,mmm
JESSE,bout stop somewhere afterward get beer
GUS,would like happen
WALT,wouldnt miss world happy birthday elliott
WALT,sometimes compromise made best reason
WALT JR,nine saturday
MIKE,okay junebug
WALT,hell
WALT,wait
HANK,amir guy name jesus call homeland security
WALT,well hate break jesse
SKYLER,yes would like please
JESSE,turned um cancer spread brain um metastasized good decided know take doctor cause knew know got treatment med
WALT,uh yes okay okay ill
JESSE,mean literally itsits gross lick junk iii cant believe even showed tv
HANK,see
MIKE,seat walter
JESSE,hey yo yo yo got champagne none cheap stuff want expensive shit
JESSE,
SKYLER,uh yes concern
SKYLER,hey
SKYLER,walt
MARIE,wow give time get job
WALT,yeah
WALT,theyve got laundry theyre gon na kill jesse fast jesse
SKYLER,realized casino report winning irs get reported family might find want family find find another place gamble like illegal backroom game remember long walk walt used take time used spend away home
MARIE,made one mistake
WALT,thats two alright let close
WALT,ever found
WALT,work get turn cash money get nothing im offering right right
SKYLER,he actually nice guy doesnt push
SKYLER,im fine
WALT,going work
SKYLER,wait take talking pillow
HANK,headed
SAUL,yeah
HANK,well dont need one ive got probable cause counselor
JESSE,cause he dumbass thats ohh god
WALT,im quite well thank
WALT,ive got two already
SAUL,jessepinkmaninthephonebook
SAUL,well let brainstorm
WALT,
SKYLER,three six hour notice
MARIE,yeah
MIKE,saul dont make beat till leg dont work tell find
WALT,jack
SKYLER,later ted
HANK,jesus sure cancer hasnt metamorphosized walts brain
JESSE,hang cant got ta hash hey
WALT,one issue trouble dont know happens three month contract end
WALT,good thats good uh rehab helped
MARIE,well heard certain patient named schradercomma hank
HANK,theyre recreational vehicle marie thats
GUS,wait outside
GUS,brotherinlaw
JESSE,got ta
WALT JR,yeah sure alright seeya dad
JESSE,cant work scale
HANK,nah
JESSE,youre telling youre cooking
SAUL,walt tell uh concern alleviate
JESSE,nah
JESSE,running charity cmon man gon na take
HANK,muscle memory
JESSE,thats psycho
GUS,
SKYLER,hey walt thought id try wondering time think might back give u call let u know okay
JESSE,ridiculous youre saying gon na work back plan back gon na use tuco
WALT,moment night never left home never gone house maybe thing woulda
WALT JR,stop stop stop
WALT,
WALT,hank think might get go inside see lab
MARIE,hank isnt insurance ive talked everybody say healthy enough go home
SKYLER,um going go road clearly sake brotherinlaw
HANK,fine want warrant ill guy bring deliver little satin pillow hows
HANK,well three cheer
MARIE,good good
JESSE,yeah found got kid kind mother
SKYLER,else would trust
JESSE,better
WALT,yes put away hell wrong
MARIE,flynn hey
HANK,ah go finally
SAUL,well next time plan wouldja starship enterprise selfdestruct button im saying
HANK,
JESSE,yeah
WALT,
JESSE,yo whats next
JESSE,let kick back gear alright let start slingin
MARIE,theyre gon na start coming weekly like
JESSE,aint buying damn nail salon forget
SKYLER,isnt game marie husband life talking trying sabotage u
JESSE,try stop bitch
SKYLER,name
SKYLER,well dont pretend understand know detail convinced put enough money hed um uh
WALT,family let sink
JESSE,stand way
JESSE,told ya dude totally boning u
SKYLER,course know walt he like brick wall doesnt talk feeling right barely speaking term
MARIE,hi sweetie
JESSE,maybe later
SAUL,talking yoko ono
JESSE,right
GUS,vouched previously took word
GUS,medical condition grown worse
JESSE,uh yeah think youre good
MARIE,youll comfortable home youll equipment
HANK,im alright
WALT,im understand im fine
WALT JR,homework
JESSE,cant order shit adolf alright partner remember
WALT,yeah well know best right anything else
JESSE,uuuuhh christ
SAUL,gentleman could come accommodation there always way oil everyones lock
SAUL,touch anything desk
WALT JR,thank
MARIE,find rv
WALT JR,thats said
MARIE,thought elliot gretchen paid treatment
WALT,yeah
MARIE,ooo u attorney santa fe nice
