character,dialogue
SKYLER,"Ohhh-kay... um, does your “guy” know the tax code and regulations for New Mexico?  Cause, there’s very specific paperwork that has to be submitted quarterly on this."
SKYLER,Don’t worry about the baby.  This is for you.  We’re only doing you tonight.
JESSE,No.  It’s not.
WALT,I’m late.  I have to go.
MIKE,"Bye, baby."
SKYLER,Contact Pinkman.  Get him to drop these charges.
WALT JR,"Oh, yeah?  That’s great!"
SAUL,"You buy this place, all you got is a big building that squirts water. You got no Danny here."
JESSE,Knock yourself out.
WALT,He’s not coming down.
MARIE,Cheese sticks.
JESSE,What happens now?  I’ll tell you what happens now.  Your scumbag brother-in-law is finished.  Done. You understand?  I will own him when this is over.
WALT,I’ve listened to everything you had to say.  And I appreciate how much thought you’ve put into my situation.  But don’t you think I’ve gone through all this in my head a thousand times and weighed all my options?
JESSE,"You know he’s not the first.  They use kids ‘cause hey, why not?  Easy to control.  Easy to fool.  All they get is juvie if they ever get caught.  Hearts and minds, right? Get ‘em young and they’re yours forever."
MIKE,Whoa.  You are good right there.
JESSE,What in the hell just happened?
SKYLER,Walt.
MARIE,It’s good to have you here.  Both of you.
WALT,"Ah.  Well, uh..."
JESSE,You didn’t hit it?
JESSE,... what?
WALT,Just.  Moved.
SAUL,You ever actually play laser tag? You know... it’s good cardio.  Plus you get to shoot at kids...
SAUL,-- So get rid of it!  What’re you doing sitting there talking to me for?!
SKYLER,"No, just... a family meeting.  A safe place where everyone can voice their concerns and be heard."
WALT,And then what?
MIKE,Yeah?  Funny how words can be so open to interpretation.
MARIE,Hank...
WALT,"I-I sit down and this man, this stranger, he engages me in conversation.  He’s a complete stranger."
JESSE,"I say -- I say we just ram him, alright?  We, uh we, we start her up, just ram the shit out of his truck... and make our escape! Right?!"
MIKE,She’s gonna need her shoe.
WALT,I wouldn’t even know where to begin.  You have no idea... I spend my day drawing atoms on a chalkboard.  Making kids memorize the periodic table.
WALT,Half a million in cash.
HANK,"Try that one again, wouldja?"
WALT,Shows what I know about art.
JESSE,Jesus!  They know what you’re doing with this!  Any goddamn retard they got workin’ a register’s gonna know you’re making crystal!  You’re probably on some list now!
JESSE,"And so, it’s not so much that it got trapped but he was living there, you know?  Under the house. You could hear him going from, like, room to room.  Always, uh, scurrying around down there. Sometimes I’d see him outside at night and it’d just, you know,"
SKYLER,No.  No police.  Where are you? Where’s Holly?  Walt..?
HANK,Yeah?  I got twenty bucks says he’s a beaner.
GUS,Three million dollars for three months of your time.
HANK,What was your son’s name?
SKYLER,Is this a good time to talk?
JESSE,"Y’know, I-I-I don’t get it.  Why would anyone paint a picture of a door?  Over and over again, like dozens of times?"
WALT,"Chad, keep your hands to yourself please.  Is there something wrong with your own table?"
GUS,North of the border is my territory.  My say.
HANK,"You got your pride.  I get it.  You wanna take care of everything yourself.  But you don’t have to, pal.  We’re all here for you.  And if this Daddy Warbucks wants to chip in... well, I gotta agree with your old lady on this one.  Take the money and run."
SKYLER,Just close your eyes.
SKYLER,tIh'me wgeoeinkgentdo. Hank and Marie's for
WALT JR,This guy’s good.
JESSE,Alright.
SKYLER,Okay.  I will think about that.
WALT,Alright.
SKYLER,Yeah.  Yeah.  Where else could you possibly make that kind of money?
JESSE,What was that?
GUS,You don’t look at him.  You look at me.
MARIE,Guess what?
MIKE,"Um... I used to be a beat cop, long time ago.  And I’d get called out on domestic disputes all the time. Hundreds, probably, over the years. But there was this one guy, this one piece of shit that I will never forget.  Gordie.  He looked like Bo Svenson.  You remember him? “Walking Tall?”  You don’t remember?"
JESSE,"Okay, fine.  I guess the cow skull pictures were cool, but... a DOOR? I will say it again.  A door. Zzzzzzzzzzzzzzz..."
WALT,I’ll admit he comes across like a circus clown... but he actually knows what he’d doing.
SKYLER,"I pretty much supported us while he did some post-doctoral work.  But really, here’s the thing:  I am not looking for any kind of loopholes, or, I dunno --"
WALT JR,Why do I always have to do it?
SKYLER,This feels fantastic.  Can you control the temperature?
SKYLER,I mean it.  You understand?
JESSE,So what?
WALT,This is not an easy decision.  But it is one that I have to make.  I’m sorry.  This whole Gale situation. He’s-he’s just not working out.
MARIE,He-he swung at you with something...
WALT JR,"Man, he got you good!"
JESSE,What do you mean?  A fly like... like what do you mean?
WALT,Why?
SKYLER,"Walt, he wouldn’t offer you a job if he didn’t think you were qualified --"
JESSE,It’s four grand.  My guy wants forty-five hundred.
MIKE,"Well, I’m not gonna do it."
WALT,"That’s got to be unusual, right? That kind of cash?"
MARIE,But you can’t know for sure.
MIKE,I trust the hole in the desert I’d leave you in.
SKYLER,Good to see you -- we missed you the last time.  I think you were in Rwanda or something...
SKYLER,Where’s Hank?
GUS,I need to talk to you about something.  Something rather pressing.
MARIE,Your father’s in custody.  You’re not going to be able to talk to him for a while.
WALT,That wouldn’t account for this much.  The materials aren’t out that long.
WALT,I’ve had it before.  Low blood sugar.  Stood up too fast.
WALT,It’s my brother-in-law -- he knows about the RV!
WALT,"Jesus, Skyler.  You really want to know?  I mean, d’you you really want to know?!  Really?"
SKYLER,My g(uoesffs whaiss sGnroetchen Schwartz. Something was goinrtg) on between you. I just knew.
JESSE,"I don’t know what you think you’re doing here, Mr. White.  If you’re planning on giving me some bullshit about getting right with Jesus or something, turning myself in --"
MIKE,Driving.  Is she good behind the wheel?
SKYLER,Marie!  Jesus.
WALT JR,"So if it’s okay, I was thinking I’d use this one for the test."
WALT,"Leave it.  One batch, one ship. Stop complicating things."
WALT,He’ll live.
WALT,We wait.
GUS,"This is a Chilean dish that I love, but... I never get to make it. Kids won’t eat it.  But, uh...  You know how that is."
SAUL,"Hello, Walt.  Good to see you. Please, uh... have a seat.  Here."
JESSE,"Nothing.  Just... I had this partner who was helping me cook.  I mean, I did most of the work.  The dude didn’t know what he was doing, and things got dicked up.  I had to let him go."
MARIE,#NAME?
WALT,"Uh, no.  Why would you... what?"
WALT,I’d like to buy it.
JESSE,"It’s like I’m on an airplane, yo. What the hell’s doing that?!"
WALT JR,"Ha, ha dad.  You’re not going to get off that easy."
WALT,"Exactly.  But actually, I prefer ether."
JESSE,"So, you want me to buy this place so I can pay taxes?  I’m a criminal, yo."
WALT,Jesse...
JESSE,Uh-huh.
WALT,Oh God.  Oh God.
SKYLER,I’m sorry.  I didn’t think you’d be so upset about it.  What did he say to you?
WALT,Need a ride?
WALT,"You’re still in our filing system. Your aunt owns this place, right?"
WALT JR,What’s--that?
JESSE,We sell it safe.  Alright?  We sell it smart.
MARIE,You’ve been doing this since we were kids!  You’d throw a fit if you didn’t get your way!
WALT,Yeah.
HANK,Never mind about your “coffee break.”  Take me up.  I’m done.
MARIE,You want a coffee?
SAUL,"Believe me, money-laundering ain’t what it used to be."
JESSE,"Yeah, yeah... hey.  Hey, I been crunching numbers, alright?!"
WALT,"Look, I hope you’re not waiting for an apology because I did not “rat you out”?  I was looking out for your best interests as well as my own.  And I stand behind my decision 100%, so we’ll just have to agree to disagree.  Anyway, just... call me back."
SKYLER,"Thanks for stopping by.  But, it’s... actually, not the best time for a visit.  So..."
HANK,Thanks for this -- I really appreciate it.
MARIE,She’s already finished an entire bottle but she still seemed hungry. Then she fell asleep.  I was thinking I’d give her another when she wakes up.
JESSE,Hey.
HANK,This kid?  I swear to God -- I wish I could just...
MARIE,"You mean, gang up on him.  Like an intervention."
WALT,Buy the RV.  We start tomorrow.
GUS,No.  This time I choose.
HANK,"Just don’t go native on me, alright?"
WALT,It’s a loan-out.  It’s fine.
JESSE,There’s got to be some other way.
JESSE,Two-oh-two and change.  You okay getting home?
SKYLER,Whatever Hank was investigating... Him trying to find an RV.  Is there any danger that could lead back to you?
WALT,I will mow.  First thing.
JESSE,My ears are popping.
JESSE,"So, uh, we’re good?"
WALT,"Think of the odds?  Once I tried to calculate them, but they’re astronomical."
JESSE,Who’d he say he killed?
HANK,"Take me up, take me up!"
SKYLER,"Ted, it’s just... this whole thing with Hank has been one non-stop horror show, you know?  So..."
HANK,Yes sir.
WALT,"Just let me, please.  Please?! Please let me talk to him!!"
WALT JR,Okay.  A 1971 Mach 1 fastback in Grabber Lime... with a shaker hood... ‘Stang.
WALT JR,What?
SKYLER,Walt?
JESSE,"Yeah?  Well, I mean...  Some things."
WALT,Buy the RV.  We start tomorrow.
MIKE,Good.
WALT,Apples and oranges.
WALT,"What’s to find out?  It’s a dispute over turf, right?  I mean, how hard could it have been for you to track them down on their turf and kill them months ago?"
MARIE,"I’ll be right back, okay?"
JESSE,"For a teenth?  Shit, c’mon, yo."
WALT,Huh.  Cap’n Cook?  That’s not you?
HANK,"No, it wasn’t one mistake.  I’ve been..."
JESSE,"Whoa, whoa, whoa, hold up!"
WALT,No.
SAUL,"Yo, Adrian.  Rocky called -- he wants his face back."
JESSE,"What about the, uh, the other one?"
JESSE,What are you two even doing here? --
WALT,Where-where..?  How did you know how to put this all together?
SKYLER,"Walter, Jr.?  I know there’s something going on up there -- now’s your chance to spit it out."
JESSE,Jesus.
SKYLER,When’ll you be home?
MARIE,"You know that you can talk to me about things, right?  You don’t have to go through this alone."
WALT JR,"Yeah, put him in jail!  What’s God gotta do with it? --"
SKYLER,"Okay.  I guess we can start going around the circle.  You’re all an important part of this family, and"
WALT,Skyler...
JESSE,"Oh!  Zzzzzap!  Somebody got GOT, yo!  You see that Mister..?"
MARIE,I spoke with Blanca.  She said that Steven’s going to El Paso?
JESSE,Thank you.  Yo!  Thank you.
JESSE,What?
WALT,Cook whatever you like -- as long as it’s that ridiculous “Chili P” or some other drek.  But don’t even think about using my formula.
HANK,"C’mon, you little rat-bastard... get off your lazy ass and go break the law."
SKYLER,"I just sold your favorite piece -- the hideous crying clown.  Got nine bucks more than I paid for it, too."
JESSE,Hey.  ‘Sup.  My name’s Jesse.
WALT,Positive pressure.
JESSE,"This is a beaker.  A Griffin beaker, to be exact.  This is a volumetric beaker.  Erlenmeyer flask, Kjeldahl-style recovery flask..."
JESSE,Surprised he doesn’t make us do that.
JESSE,"I mean, mhat’s the point of shutting yourself off completely from something that... lifts you off the ground?  I spend so much energy fighting the urge not to use, and I feel like crap ‘cause of it..."
WALT,"bUahc. k Jfourst aBwohyiioeu. kInow, I Won't be surgery on Friday. 'm having ny"
JESSE,"Off of Central.  Like, over by the train tracks..?"
WALT,No.  Hank --
MARIE,These things they laughingly call pillows... I would not give them to prison inmates.
MARIE,"I’m betting it will.  And if he does, you check out of here."
HANK,Nope.
WALT,"Alright, well...  No, no... come on.  Come on."
JESSE,No!  NO!
SAUL,Drum roll please... wait for it...
HANK,My name is ASAC Schrader.  And you can go fuck yourself.
SAUL,"Your filthy drug money has been transformed into nice clean, taxable income brought to you by a savvy investment in a thriving business."
SKYLER,"When Walt was diagnosed -- it, um, it changed him.  Looking back, I don’t think I ever really understood what it was that he was going through.  It was more than facing death.  It was knowing that he was going to leave behind... nothing.  And so that’s how this all started.  For better or worse, he wanted to provide."
JESSE,I don’t know.  What’s it matter? Who cares? I got it.
JESSE,"Why don’t you just, uh, leave him be?  Let the traps do the work."
WALT,"Whoa, whoa, whoa, whoa.  What are you doing?"
JESSE,Ah.  Damn.
WALT JR,"I’m pissed off at you.  ‘Cause you’re a coward.  You get cancer, and two minutes later you’re ready to give up.  What if you’d given up on me?  Remember when I could barely stand -- how you helped me every day ‘til I was able to walk? Remember how hellacious that was? And you’re scared of a little chemotherapy?"
JESSE,What else did he tell you?
SKYLER,You killed him.  You killed Hank.
WALT,On-nne...
WALT,"I’ll, uh... I’ll follow you."
SKYLER,I’ll take you to school.
HANK,Moment of truth.
SAUL,What RV?
WALT,I’m sorry about Jane.
WALT,"Oh, shit."
JESSE,What.  Are you doing?
JESSE,Seriously.  Get a beer with me.
WALT,Happy Birthday.
WALT,"Something that keeps him off the street for say, 30 days?  Then, by the time he gets out, tempers have cooled and hopefully we can move on."
WALT JR,"Hey, Aunt Marie."
JESSE,What did you talk about?
GUS,Probing for weakness.
WALT JR,‘Scuse me?
GUS,Sunset.
SKYLER,Yeah...
MARIE,"Listen, you knock your way, Groucho, I’ll knock mine."
WALT,Pinkman.  You still owe me.
GUS,We’re working together... why not break bread together?
JESSE,Yeah.  I do.
WALT,This is a raisin.
MIKE,I spoke to Goodman about Pinkman and this plan of yours.
WALT,"No, it’s pretty straightforward. I’ll show you when we get there."
SAUL,"Yeah, that was for your partner. Privileges of seniority and all -- but for you it’s the usual seventeen percent, and... that’s a bargain."
SKYLER,"Thanks a lot, Marie!  Nice ambush!"
WALT,Very much.
SKYLER,You’re right.  You’re right.
JESSE,That you went to a bar?
JESSE,"Hey.  It will be.  Step One, we build inventory.  Badger, go see Clovis.  Get the RV in shape.  Tune up, oil change, brake lights and whatnot.  Cops always pull you over brake lights.  Not us.  Cautious."
JESSE,Yeah?
WALT,"Well, what did you think he was gonna do?  You tell the man I’m dying --"
MARIE,"Hey, did you know that the doctors told your Uncle Hank that he can get out of here any time he wants to?"
HANK,This thing doesn’t do a damned thing.
HANK,"So, I immediately went back to the salvage yard, but the RV was gone. Most likely destroyed on site."
JESSE,"Alright, imagine these two guys had Patrick working as a mule.  Making him kill people.  Wouldn’t you do anything to protect your kid?"
WALT,Skyler.  Hey.
WALT,Sure.
WALT,"Hank, please.  You’ve gotta tell him we can work this out.  Hank..."
SKYLER,Sizzle-lean.  We’re watching our cholesterol.
WALT,Wh-what is that?  That’s hearsay. Do you have any proof?
HANK,"You get that out of my house.  You hear me, Marie?  Today."
WALT,"Skyler, there’s-there’s a lotta angles to this, alright?  It is complicated.  Let’s just sit back down and talk it through."
SKYLER,Laser Tag.
JESSE,What the hell’s that s’posed to mean?
WALT,I’ll do the treatment.
SAUL,Howsabout we run through this thing one more time.  Especially the part where I do all the talking and you don’t say jack.
JESSE,Wait... WHAT?
SKYLER,"Somehow, something tells me that"
GUS,Come on.  You can help me cook.
JESSE,It’s not your fault.
GUS,"I believe in you, Gale.  I know that when the time comes, you will be ready."
JESSE,Get offa me!  Get off!
GUS,But it doesn’t.
